s_fips,abbreviation,county_name,c_fips
01,AL,Autauga,001
01,AL,Baldwin,003
01,AL,Barbour,005
01,AL,Bibb,007
01,AL,Blount,009
01,AL,Bullock,011
01,AL,Butler,013
01,AL,Calhoun,015
01,AL,Chambers,017
01,AL,Cherokee,019
01,AL,Chilton,021
01,AL,Choctaw,023
01,AL,Clarke,025
01,AL,Clay,027
01,AL,Cleburne,029
01,AL,Coffee,031
01,AL,Colbert,033
01,AL,Conecuh,035
01,AL,Coosa,037
01,AL,Covington,039
01,AL,Crenshaw,041
01,AL,Cullman,043
01,AL,Dale,045
01,AL,Dallas,047
01,AL,Dekalb,049
01,AL,Elmore,051
01,AL,Escambia,053
01,AL,Etowah,055
01,AL,Fayette,057
01,AL,Franklin,059
01,AL,Geneva,061
01,AL,Greene,063
01,AL,Hale,065
01,AL,Henry,067
01,AL,Houston,069
01,AL,Jackson,071
01,AL,Jefferson,073
01,AL,Lamar,075
01,AL,Lauderdale,077
01,AL,Lawrence,079
01,AL,Lee,081
01,AL,Limestone,083
01,AL,Lowndes,085
0,AL,Macon,087
01,AL,Madison,089
01,AL,Marengo,091
01,AL,Marion,093
01,AL,Marshall,095
01,AL,Mobile,097
01,AL,Monroe,099
01,AL,Montgomery,101
01,AL,Morgan,103
01,AL,Perry,105
01,AL,Pickens,107
01,AL,Pike,109
01,AL,Randolph,111
01,AL,Russell,113
01,AL,St. Clair,115
01,AL,Shelby,117
01,AL,Sumter,119
01,AL,Talladega,121
01,AL,Tallapoosa,123
01,AL,Tuscaloosa,125
01,AL,Walker,127
01,AL,Washington,129
01,AL,Wilcox,131
01,AL,Winston,133
02,AK,Aleutians East Borough,013
02,AK,Aleutians West Census Area,
02,AK,Anchorage,020
02,AK,Bethel Census Area,
02,AK,Bristol Bay Borough,060
02,AK,Denali Borough,068
02,AK,Dillingham Census Area,
02,AK,Fairbanks North Star Borough,
02,AK,Haines Borough,100
02,AK,Hoonah - Angoon Census Area,
02,AK,Juneau,110
02,AK,Kenai Peninsula Borough,122
02,AK,Ketchikan Gateway Borough,130
02,AK,Kodiak Island Borough,150
02,AK,Lake and Penninsula Borough,164
02,AK,Matanuska- Susitna Borough,170
02,AK,Nome Census Area,
02,AK,North Slope Borough,185
02,AK,Northwest Arctic Borough,188
02,AK,Petersburg Borough,195
02,AK,Prince of Wales- Hyder Census Area,
02,AK,Sitka,220
02,AK,Skagway,230
02,AK,Southeast Fairbanks Census Area,
02,AK,Valdez- Corodova Census Area,
02,AK,Kusilvak Census Area,
02,AK,Wrangell,275
02,AK,Yakutat,285
02,AK,Yukon-Koyukuk,
04,AZ,Apache County,001
04,AZ,Cochise County,003
04,AZ,Coconino County,005
04,AZ,Gila County,007
04,AZ,Graham County,009
04,AZ,Greenlee County,011
04,AZ,La Paz County,012
04,AZ,Marciopa County,013
04,AZ,Mohave County,015
04,AZ,Navajo County,017
04,AZ,Pima County,019
04,AZ,Pinal County,021
04,AZ,Santa Cruz County,023
04,AZ,Yavapai County,025
04,AZ,Yuma County,027
05,AR,Arkansas County,001
05,AR,Ashley County,003
05,AR,Baxter County,005
05,AR,Benton County,007
05,AR,Boone County,009
05,AR,Bradley County,011
05,AR,Calhoun County,013
05,AR,Carroll County,015
05,AR,Chicot County,017
05,AR,Clark County,019
05,AR,Clay County,021
05,AR,Cleburne County,023
05,AR,Cleveland County,025
05,AR,Columbia County,027
05,AR,Conway County,029
05,AR,Craighead County,031
05,AR,Crawford County,033
05,AR,Crittenden County,035
05,AR,Cross County,037
05,AR,Dallas County,039
05,AR,Desha County,041
05,AR,Drew County,043
05,AR,Faulkner County,045
05,AR,Franklin County,047
05,AR,Fulton County,049
05,AR,Garland County,051
05,AR,Grant County,053
05,AR,Greene County,055
05,AR,Hempstead County,057
05,AR,Hot Spring County,059
05,AR,Howard County,061
05,AR,Independence County,063
05,AR,Izard County,065
05,AR,Jackson County,067
05,AR,Jefferson County,069
05,AR,Johnson County,071
05,AR,Lafayette County,073
05,AR,Lawrence County,075
05,AR,Lee County,077
05,AR,Lincoln County,079
05,AR,Little River County,081
05,AR,Logan County,083
05,AR,Lonoke County,085
05,AR,Madison County,087
05,AR,Marion County,089
05,AR,Miller County,091
05,AR,Mississpi County,093
05,AR,Monroe County,095
05,AR,Montgomery County,097
05,AR,Nevada County,099
05,AR,Newton County,101
05,AR,Ouachita County,103
05,AR,Perry County,105
05,AR,Phillips County,107
05,AR,Pike County,109
05,AR,Poinsett County,111
05,AR,Polk County,113
05,AR,Pope County,115
05,AR,Prairie County,117
05,AR,Pulaski County,119
05,AR,Randolph County,121
05,AR,St. Francis County,123
05,AR,Saline County,125
05,AR,Scott County,127
05,AR,Searcy County,129
05,AR,Sebastian County,131
05,AR,Sevier County,133
05,AR,Sharp County,135
05,AR,Stone County,137
05,AR,Union County,139
05,AR,Van Buren County,141
05,AR,Washington County,143
05,AR,White County,145
05,AR,Woodruff County,147
05,AR,Yell County,149
06,CA,Alameda County,001
06,CA,Alpine County,003
06,CA,Amador County,005
06,CA,Butte County,007
06,CA,Calaveras County,009
06,CA,Colusa County,011
06,CA,Contra Costa County,013
06,CA,Del Norte County,015
06,CA,El Dorado County,017
06,CA,Fresno County,019
06,CA,Glenn County,021
06,CA,Humboldt County,023
06,CA,Imperial County,025
06,CA,Inyo County,027
06,CA,Kern County,029
06,CA,Kings County,031
06,CA,Lake County,033
06,CA,Lassen County,035
06,CA,Los Angeles County,037
06,CA,Madera County,039
06,CA,Marin County,041
06,CA,Mariposa County,043
06,CA,Mendocino County,045
06,CA,Merced County,047
06,CA,Modoc County,049
06,CA,Mono County,051
06,CA,Monterey County,053
06,CA,Napa County,055
06,CA,Neveda County,057
06,CA,Orange County,059
06,CA,Placer County,061
06,CA,Plumas County,063
06,CA,Riverside County,065
06,CA,Sacramento County,067
06,CA,San Benito County,069
06,CA,San Bernardino County,071
06,CA,San Diego County,073
06,CA,San Francisco ,075
06,CA,San Joaquin County,077
06,CA,San Luis Obispo County,079
06,CA,San Mateo County,081
06,CA,Santa Barbara County,083
06,CA,Santa Clara County,085
06,CA,Santa Cruz County,087
06,CA,Shasta County,089
06,CA,Sierra County,091
06,CA,Siskiyou County,093
06,CA,Solano County,095
06,CA,Sonoma County,097
06,CA,Stanislaus County,099
06,CA,Sutter County,101
06,CA,Tehama County,103
06,CA,Trinty County,105
06,CA,Tulare County,107
06,CA,Tuolumne County,109
06,CA,Ventura County,111
06,CA,Yolo County,113
06,CA,Yuba County,115
08,CO,Adams County,001
08,CO,Alamosa County,003
08,CO,Arapahoe County,005
08,CO,Archuleta County,007
08,CO,Baca County,009
08,CO,Bent County,011
08,CO,Boulder County,013
08,CO,Broomfield,014
08,CO,Chaffee County,015
08,CO,Cheyenne County,017
08,CO,Clear Creek County,019
08,CO,Conejos County,021
08,CO,Costilla County,023
08,CO,Crowley County,025
08,CO,Custer County,027
08,CO,Delta County,029
08,CO,Denver,031
08,CO,Dolores County,033
08,CO,Douglas County,035
08,CO,Eagle County,037
08,CO,Elbert County,041
08,CO,El Paso County,039
08,CO,Fremont County,043
08,CO,Garfield County,045
